School name, Suggested Mascot, website, lat, long, osmLink
Vincent L. Triggs Elementary,Travelers,https://triggses.com/,0,0,https://www.openstreetmap.org/way/130170493
Vegas Verdes Elementary School,Vikings,https://vegasverdesvikings.com/,0,0,https://www.openstreetmap.org/way/130208334
Oak Ridge Elementary School,Soaring,https://www.leonschools.net/oakridge,0,0,https://www.openstreetmap.org/way/131941487
Town and Country Elementary School,Tigers,https://www.hillsboroughschools.org/townandcountry,0,0,https://www.openstreetmap.org/way/132834413
Dellview Elementary School,Dolphins,https://www.neisd.net/dellview,0,0,https://www.openstreetmap.org/way/133581801
Jackson-Keller Elementary School,Jack,https://www.neisd.net/jacksonkeller,0,0,https://www.openstreetmap.org/way/133589764
Roy Allen Elementary,Panthers,https://www.brevardschools.org/o/raes,0,0,https://www.openstreetmap.org/way/135415536
Castle Hills Elementary School,Roadrunners,https://www.neisd.net/castlehills,0,0,https://www.openstreetmap.org/way/141326949
Westbriar Elementary School,Falcons,https://westbriares.fcps.edu/,0,0,https://www.openstreetmap.org/way/142538114
Lincoln Park Elementary School,LP,https://lp.ddouglas.k12.or.us/,0,0,https://www.openstreetmap.org/way/142741812
Sunset Elementary School,Mighty,https://www.sysdschools.org/Domain/11,0,0,https://www.openstreetmap.org/way/143120841
Royal Ridge Elementary School,Patriots,https://www.neisd.net/royalridge,0,0,https://www.openstreetmap.org/way/148164701
Mendoza Elementary School,the,https://mendoza.sbusd.org/,0,0,https://www.openstreetmap.org/way/149560871
Oak Hill Elementary School,Falcons,https://www.slps.org/oakhill,0,0,https://www.openstreetmap.org/way/149711787
West Jefferson Elementary School,Bobcats,https://westjeffes.jeffcopublicschools.org/,0,0,https://www.openstreetmap.org/way/149965140
Ishikawa Elementary School,Dragons,https://www.mpsaz.org/ishikawa,0,0,https://www.openstreetmap.org/way/150793346
Lehi Elementary School,LYNX,https://www.mpsaz.org/lehi,0,0,https://www.openstreetmap.org/way/151283005
Monroe Elementary School,Mighty,https://www.slps.org/Domain/1259,0,0,https://www.openstreetmap.org/way/152500106
Tuscano Elementary School,Jaguars,https://tusc.fesd.org/,0,0,https://www.openstreetmap.org/way/152752786
Littleton Elementary School,Firebirds,https://lnes.littletonaz.org/,0,0,https://www.openstreetmap.org/way/153276444
Apalachee Elementary School,Shining,https://www.leonschools.net/apalachee,0,0,https://www.openstreetmap.org/way/155603777
Bluffdale Elementary School,Bulldogs,https://bluffdale.jordandistrict.org/,0,0,https://www.openstreetmap.org/way/155906728
Olmos Elementary School,Owls,https://www.neisd.net/olmos,0,0,https://www.openstreetmap.org/way/164875959
Oak Grove Elementary School,Panthers,https://www.neisd.net/oakgrove/,0,0,https://www.openstreetmap.org/way/165369020
Stahl Elementary School,Stallions,https://www.neisd.net/stahl/,0,0,https://www.openstreetmap.org/way/165369495
Patterson Elementary School,COYOTES,https://www.mpsaz.org/patterson,0,0,https://www.openstreetmap.org/way/170998281
O'Melveny Elementary School,Super,https://omelvenyes.lausd.org/,0,0,https://www.openstreetmap.org/way/172229840
Taft Elementary School,White,https://www.mpsaz.org/taft,0,0,https://www.openstreetmap.org/way/172747018
Bridge Street Elementary School,Tigers,https://bridgestes.lausd.org/,0,0,https://www.openstreetmap.org/way/174251095
Stevenson Elementary School,STALLIONS,https://www.mpsaz.org/stevenson,0,0,https://www.openstreetmap.org/way/175775643
Patricia A. Bendorf Elementary School,Bobcats,https://bendorfelementary.org,0,0,https://www.openstreetmap.org/way/179893387
Bond Elementary School,Panthers,https://www.leonschools.net/astoriapark,0,0,https://www.openstreetmap.org/way/181815413
Carnegie Elementary School,Cougars,https://carnegie.cps.edu/,0,0,https://www.openstreetmap.org/way/182015262
Wetmore Elementary School,Rangers,https://www.neisd.net/wetmore/,0,0,https://www.openstreetmap.org/way/183679323
Mesa View Elementary School,Jaguars,https://mwes.chinleusd.k12.az.us/,0,0,https://www.openstreetmap.org/way/184815150
Huebner Elementary School,Huskies,https://www.neisd.net/huebner/,0,0,https://www.openstreetmap.org/way/185737633
Rancho Romero Elementary School,Roadrunners,https://rres.srvusd.net,0,0,https://www.openstreetmap.org/way/189370222
Olde Creek Elementary School,Bears,https://www.fcps.edu/OldeCreekES/,0,0,https://www.openstreetmap.org/way/191005142
Mattie Lou Maxwell Elementary School,Roadrunners,https://maxwell.magnoliasd.org/,0,0,https://www.openstreetmap.org/way/195017623
Sor Juana Elementary School,Phoenixes,https://www.sorjuana.cps.edu/,0,0,https://www.openstreetmap.org/way/195650541
Edison Park Elementary School,Wolves,https://edisonparkelementary.org/,0,0,https://www.openstreetmap.org/way/195837348
Vera Scott Elementary School,Scott,https://scott.d11.org/,0,0,https://www.openstreetmap.org/way/197415137
Riley Elementary School,Rams,https://riley.lps.org/,0,0,https://www.openstreetmap.org/way/198702462
Sunnyside Elementary School,Trojans,http://www.sunnysideunion.com/,0,0,https://www.openstreetmap.org/way/200293894
Liberty Elementary School,Liberty,http://www.libertyelementary.org/,0,0,https://www.openstreetmap.org/way/200295086
Peter G. Schmidt Elementary School,Eagles,https://pgs.tumwater.k12.wa.us/,0,0,https://www.openstreetmap.org/way/200667412
Jefferson Elementary School,Jets,http://jefferson.dinuba.k12.ca.us/,0,0,https://www.openstreetmap.org/way/200795812
Roosevelt Elementary School,Rams,http://roosevelt.dinuba.k12.ca.us/,0,0,https://www.openstreetmap.org/way/200795831
Woodlake Elementary School,Beavers,https://woodlake.trusd.net/,0,0,https://www.openstreetmap.org/way/202373733
Christopher Dena Elementary School,Mighty,https://christopheres.lausd.org/,0,0,https://www.openstreetmap.org/way/202894804
Ford Boulevard Elementary & Dual Language Academy,Bulldogs,https://fordblvdes.lausd.org/,0,0,https://www.openstreetmap.org/way/202906383
Hooper Avenue Elementary School,Super,https://hooperavees.lausd.org/,0,0,https://www.openstreetmap.org/way/203193554
Baranoff Elementary School,Mighty,https://baranoff.austinschools.org/,0,0,https://www.openstreetmap.org/way/203387373
Graham Elementary School,Bulldogs,https://grahames-lausd-ca.schoolloop.com/,0,0,https://www.openstreetmap.org/way/203436313
Stanford Avenue Elementary School,Tigers,https://stanfordavees.lausd.org/,0,0,https://www.openstreetmap.org/way/203436437
Roosevelt Elementary School,Roadrunners,https://roos.usd470.com/,0,0,https://www.openstreetmap.org/way/203681104
Fulford Elementary School,Falcons,https://fulfordelementary.net/,0,0,https://www.openstreetmap.org/way/204764743
Neil Armstrong Elementary School,Positive,https://www.yourcharlotteschools.net/nae,0,0,https://www.openstreetmap.org/way/207257886
Sunkist Elementary School,Sabercats,https://anaheimelementary.org/sunkist/,0,0,https://www.openstreetmap.org/way/209716077
Aldridge Elementary School,Altgeld,https://aldridgeeagles.org/,0,0,https://www.openstreetmap.org/way/215329001
Mary Lyon Elementary School,Lions,https://www.marylyonschool.com/,0,0,https://www.openstreetmap.org/way/217929566
Cascade Elementary School,cougar,https://www.msd25.org/o/cascade-elementary-school,0,0,https://www.openstreetmap.org/way/219716084
Douglas Taylor Elementary School,Panthers,https://taylor.cps.edu/,0,0,https://www.openstreetmap.org/way/219842988
Riverview Elementary School,Gators,https://www.hillsboroughschools.org/riverviewes,0,0,https://www.openstreetmap.org/way/220476517
Arthur Ashe Elementary School,Eagles,https://ashe.cps.edu/,0,0,https://www.openstreetmap.org/way/224810572
Arborwood South Elementary School,Eagles,https://www.monroe.k12.mi.us/AEC,0,0,https://www.openstreetmap.org/way/225337749
Nathan S. Davis Elementary School,Bears,https://nathansdavis.cps.edu/,0,0,https://www.openstreetmap.org/way/226617023
Wendell Smith Elementary School,Seagulls,https://wendellsmith.cps.edu/,0,0,https://www.openstreetmap.org/way/229340989
F. O. Holaway Elementary School,Coyotes,https://holaway.amphi.com/,0,0,https://www.openstreetmap.org/way/229488464
Franklin Elementary School,Falcons,https://franklin.alamedaunified.org/,0,0,https://www.openstreetmap.org/way/230605410
Astoria Park Elementary School,Panthers,https://www.leonschools.net/astoriapark,0,0,https://www.openstreetmap.org/way/231113633
Bull Run Elementary School,Bulls,https://bullrunes.fcps.edu/,0,0,https://www.openstreetmap.org/way/231329852
Greenbrook Elementary School,Eagles,https://gbes.srvusd.net,0,0,https://www.openstreetmap.org/way/231409734
New Sullivan Elementary School,Spartans,https://newsullivan.cps.edu/,0,0,https://www.openstreetmap.org/way/231646935
Lenart Elementary Regional Gifted Center,L,https://lenart.cps.edu/,0,0,https://www.openstreetmap.org/way/231670517
Michael T. Simmons Elementary School,Wolf,https://mts.tumwater.k12.wa.us/,0,0,https://www.openstreetmap.org/way/231722307
Marshall Road Elementary School,Roadrunners,https://marshallroades.fcps.edu/,0,0,https://www.openstreetmap.org/way/232080786
John L. Marsh Elementary School,Mustangs,https://jlmarsh.org/,0,0,https://www.openstreetmap.org/way/232266781
Wakefield Elementary School,Wildcats,https://wakefield.turlock.k12.ca.us/,0,0,https://www.openstreetmap.org/way/232386947
Gold Camp Elementary School,Cougars,https://gce.cmsd12.org/,0,0,https://www.openstreetmap.org/way/232727358
Rosenwald Elementary School,Lions,https://carroll-rosenwald.cps.edu/,0,0,https://www.openstreetmap.org/way/234346101
Carroll Elementary School,Lions,https://carroll-rosenwald.cps.edu/,0,0,https://www.openstreetmap.org/way/234366782
Union Elementary School,BOBCATS,https://www.union.k12.or.us/,0,0,https://www.openstreetmap.org/way/236497343
Haycock Elementary School,Cougars,https://haycockes.fcps.edu/,0,0,https://www.openstreetmap.org/way/239022347
Kent Gardens Elementary School,Lions,https://kentgardenses.fcps.edu/,0,0,https://www.openstreetmap.org/way/239022678
Franklin Sherman Elementary School,Pandas,https://franklinshermanes.fcps.edu/,0,0,https://www.openstreetmap.org/way/239273241
