School name,Suggested Mascot,website,osmLink
Cirby Elementary School,Eagles,https://cirby.rcsdk8.org/,https://www.openstreetmap.org/way/120650330
Peter G. Schmidt Elementary School,Eagles,https://pgs.tumwater.k12.wa.us/,https://www.openstreetmap.org/way/200667412
Arthur Ashe Elementary School,Eagles,https://ashe.cps.edu/,https://www.openstreetmap.org/way/224810572
Arborwood South Elementary School,Eagles,https://www.monroe.k12.mi.us/AEC,https://www.openstreetmap.org/way/225337749
Greenbrook Elementary School,Eagles,https://gbes.srvusd.net,https://www.openstreetmap.org/way/231409734
Sixth Avenue Elementary School,Eagles,https://6thavees.lausd.org/,https://www.openstreetmap.org/way/248402871
Sauk Elementary School,Eagles,https://sauk.sd162.org/,https://www.openstreetmap.org/way/262588491
Sandy Plains Elementary School,Eagles,https://sandyplainses.bcps.org/,https://www.openstreetmap.org/way/300813951
Trevilians Elementary School,Eagles,https://tes.lcps.k12.va.us/,https://www.openstreetmap.org/way/344623687
Glendale Elementary School,Eagles,http://sites.isdschools.org/glendale,https://www.openstreetmap.org/way/375736795
Edison Elementary,Eagles,https://www.mpsaz.org/edison,https://www.openstreetmap.org/way/429544283
East Elementary School,Eagles,https://www.ucps.k12.nc.us/Domain/13,https://www.openstreetmap.org/way/439634917
Springfield Estates Elementary School,Eagles,https://springfieldestateses.fcps.edu/,https://www.openstreetmap.org/way/454985023
Richland Elementary School,Eagles,https://www.d88a.org/,https://www.openstreetmap.org/way/646573928
Elmdale Elementary School,Eagles,https://elmdale.sdale.org/,https://www.openstreetmap.org/way/833242780
Monterey Elementary School,Eagles,https://monterey.sbcusd.com/,https://www.openstreetmap.org/way/890127208
Arlington Heights Elementary School,Eagles,https://arlingtonheights.mccsc.edu/,https://www.openstreetmap.org/way/916317349
Cicero West Elementary School,Eagles,https://cicerowest.cicd99.edu/,https://www.openstreetmap.org/way/1065311046
Freedom Hill Elementary School,Eagles,https://freedomhilles.fcps.edu/,https://www.openstreetmap.org/way/1110827359
Walnut Elementary School,Eagles,https://www.walnuteagles.net/,https://www.openstreetmap.org/way/1150560008
Henderson Elementary School,Eagles,https://www.henderson.laramie1.org/,https://www.openstreetmap.org/way/1152588407
East Union Elementary School,Eagles,https://www.eastunionschools.org/,https://www.openstreetmap.org/way/1156075028
Washington Irving Elementary School,Eagles,https://www.op97.org/irving/,https://www.openstreetmap.org/way/1158584844
Lexington Elementary School,Eagles,https://les.lexingtonisd.net/,https://www.openstreetmap.org/way/1175882817
Blanchard Elementary School,Eagles,https://blanchard.caddoschools.org/o/bes,https://www.openstreetmap.org/way/1223040807
Matteson Elementary School,Eagles,https://matteson.sd162.org/,https://www.openstreetmap.org/way/1253018292
Aragon Avenue Elementary School,Eagles,https://aragonavees.lausd.org/,https://www.openstreetmap.org/way/1301351378
Baker Place Elementary School,Eagles,https://bakerplacees.ccboe.net,https://www.openstreetmap.org/way/1345334928
Rann Elementary School,Eagles,https://www.decaturisd.us/o/re,https://www.openstreetmap.org/way/1414485668
STEM Academy at Enis Elementary,Eagles,https://www.decaturisd.us/o/stem,https://www.openstreetmap.org/way/1414487518
Adlai E. Stevenson Elementary School,Eagles,https://stevenson.cps.edu/,https://www.openstreetmap.org/relation/19736684
Yates Elementary School,Eaglets,http://yates.mysdhc.org/,https://www.openstreetmap.org/way/799261602
Catheryn Gates Elementary School,Explorers,https://gates.rcsdk8.org/,https://www.openstreetmap.org/way/121005374
Edward Zeiger Elementary School,Explorers,https://zei.puyallupsd.org/,https://www.openstreetmap.org/way/264100845
Village Elementary School,Explorers,https://village.coronadousd.net/,https://www.openstreetmap.org/way/330871428
Horizon Elementary School,Explorers,https://horizon.boiseschools.org/,https://www.openstreetmap.org/way/675700313
Entz Elementary,Explorers,https://www.mpsaz.org/entz,https://www.openstreetmap.org/way/1109879105
Lawton Chiles Elementary School,Falcons,https://www.hillsboroughschools.org/chiles,https://www.openstreetmap.org/node/358744482
Foster Elementary School,Falcons,https://foster.bpusd.net/,https://www.openstreetmap.org/way/39494017
Sangster Elementary School,Falcons,https://www.fcps.edu/SangsterES/,https://www.openstreetmap.org/way/39921188
Field Elementary,Falcons,https://www.mpsaz.org/field,https://www.openstreetmap.org/way/44463430
Westbriar Elementary School,Falcons,https://westbriares.fcps.edu/,https://www.openstreetmap.org/way/142538114
Oak Hill Elementary School,Falcons,https://www.slps.org/oakhill,https://www.openstreetmap.org/way/149711787
Fulford Elementary School,Falcons,https://fulfordelementary.net/,https://www.openstreetmap.org/way/204764743
Franklin Elementary School,Falcons,https://franklin.alamedaunified.org/,https://www.openstreetmap.org/way/230605410
Longfellow Elementary School,FALCONS,https://www.mpsaz.org/longfellow,https://www.openstreetmap.org/way/429544299
Corydon Elementary School,Falcons,https://www.wayne.k12.ia.us/,https://www.openstreetmap.org/way/852780004
Sunflower Elementary School,Falcons,https://www.usd290.org/o/ses,https://www.openstreetmap.org/way/893457333
Folsom Elementary School,Falcons,https://www.hillsboroughschools.org/folsom,https://www.openstreetmap.org/way/971828196
Franklin Elementary School,Falcons,https://www.nps.k12.nj.us/FRA/,https://www.openstreetmap.org/relation/6542659
Farnham Elementary School,Farnham,https://www.cambriansd.org/farnham,https://www.openstreetmap.org/way/38246299
Northside Elementary School,Fighting,https://www.ecisd.org/page/about-us-nse,https://www.openstreetmap.org/way/518683415
